method,replicate,corr,bias,sign_acc,sensitivity,specificity
naive_clr,0,0.3311327539048995,7.511006976763956e-08,0.62,0.2,0.7989597919583917
sparxcc_like,0,0.3309698827325506,0.0017009873801183116,0.62,0.2,0.7990918183636727
bias_corrected,0,0.3166743164242974,0.0006081926565702168,0.6,0.16,0.8512622524504901
sparxcc_base,0,0.3311083137436595,7.660539464304268e-08,0.62,0.2,0.7999319863972795
sparxcc_iter,0,0.3311083137436595,7.660539464304268e-08,0.62,0.2,0.7999319863972795
naive_clr,1,0.6657668365458764,2.2613824835575566e-06,0.8,0.36,0.7948589717943588
sparxcc_like,1,0.6658071652638468,0.0014284346705010116,0.8,0.36,0.7948469693938788
bias_corrected,1,0.6557635851996594,0.0005275819149118652,0.76,0.3,0.8478495699139827
sparxcc_base,1,0.6657832948833744,2.261314362596882e-06,0.8,0.36,0.7957031406281256
sparxcc_iter,1,0.6657832948833744,2.261314362596882e-06,0.8,0.36,0.7957031406281256
naive_clr,2,0.6000904399247314,2.509300878374854e-06,0.76,0.24,0.7891018203640728
sparxcc_like,2,0.6001694663342245,0.001590370592163083,0.78,0.24,0.7889857971594318
bias_corrected,2,0.5865449274549516,0.0008930366262589917,0.72,0.24,0.842744548909782
sparxcc_base,2,0.6001026435774529,2.504619345351491e-06,0.76,0.24,0.7900220044008802
sparxcc_iter,2,0.6001026435774529,2.504619345351491e-06,0.76,0.24,0.7900220044008802
naive_clr,3,0.585386581560137,4.607267576015601e-06,0.72,0.3,0.794758951790358
sparxcc_like,3,0.5857430149348765,0.001596871535457586,0.72,0.32,0.7944908981796359
bias_corrected,3,0.5784287347478796,0.0005731528777271557,0.68,0.22,0.8478455691138228
sparxcc_base,3,0.5853876377241845,4.619522715302481e-06,0.72,0.3,0.7956351270254051
sparxcc_iter,3,0.5853876377241845,4.619522715302481e-06,0.72,0.3,0.7956351270254051
naive_clr,5,0.5825234792941473,7.467421829172515e-06,0.72,0.28,0.7940108021604321
sparxcc_like,5,0.5826932428121876,0.0014041416921095542,0.72,0.28,0.7939347869573915
bias_corrected,5,0.5920528859067785,0.0006453687306112617,0.68,0.24,0.8465893178635727
sparxcc_base,5,0.5825168710700219,7.465135542590334e-06,0.72,0.28,0.794878975795159
sparxcc_iter,5,0.5825168710700219,7.465135542590334e-06,0.72,0.28,0.794878975795159
naive_clr,4,0.389639625430735,2.175000931591216e-06,0.72,0.32,0.8027325465093018
sparxcc_like,4,0.389403757456341,0.001643245990490285,0.72,0.32,0.8026165233046609
bias_corrected,4,0.3749941637610407,0.0006665204250117802,0.62,0.26,0.8543868773754751
sparxcc_base,4,0.389678307114515,2.162745225827658e-06,0.72,0.32,0.8035247049409882
sparxcc_iter,4,0.389678307114515,2.162745225827658e-06,0.72,0.32,0.8035247049409882
naive_clr,6,0.32414144659333444,9.258908559072783e-06,0.7,0.24,0.8041648329665934
sparxcc_like,6,0.32437325383595517,0.0011914513522609416,0.7,0.24,0.8044208841768353
bias_corrected,6,0.30895371854952713,0.00041948128573647835,0.7,0.2,0.8550510102020404
sparxcc_base,6,0.32417637953445066,9.255642355845763e-06,0.7,0.24,0.8050290058011602
sparxcc_iter,6,0.32417637953445066,9.255642355845763e-06,0.7,0.24,0.8050290058011602
naive_clr,7,0.5971752891929818,5.429766717300022e-06,0.82,0.24,0.7992238447689538
sparxcc_like,7,0.5972655248679443,0.0014630271182129995,0.8,0.24,0.7990718143628726
bias_corrected,7,0.5680047992937405,0.0006787251403228695,0.74,0.16,0.8517103420684137
sparxcc_base,7,0.5971905818185894,5.431175987216024e-06,0.82,0.24,0.8000920184036807
sparxcc_iter,7,0.5971905818185894,5.431175987216024e-06,0.82,0.24,0.8000920184036807
naive_clr,8,0.4237747815233223,9.592541999593262e-06,0.76,0.28,0.8011922384476895
sparxcc_like,8,0.4238887216122574,0.0015550130907429586,0.76,0.26,0.8012242448489698
bias_corrected,8,0.4038947660818413,0.0007274800007364947,0.72,0.24,0.8529385877175435
sparxcc_base,8,0.4237690024973445,9.578005441919763e-06,0.76,0.28,0.8021924384876975
sparxcc_iter,8,0.4237690024973445,9.578005441919763e-06,0.76,0.28,0.8021924384876975
naive_clr,9,0.579586176211459,7.710203631350875e-06,0.76,0.26,0.788133626725345
sparxcc_like,9,0.5793603350398621,0.0018565904084997618,0.76,0.26,0.788257651530306
bias_corrected,9,0.5668266526449588,0.0007993991687200028,0.7,0.18,0.8426045209041808
sparxcc_base,9,0.5795783688855592,7.713177872293003e-06,0.76,0.26,0.7890178035607122
sparxcc_iter,9,0.5795783688855592,7.713177872293003e-06,0.76,0.26,0.7890178035607122
