n,p,effect,n_reps,power_mean,power_std,auroc_mean,auroc_std,recall_at_K_mean,recall_at_K_std
500,500,0.7,5,0.0,0.0,0.9648532036876502,0.0023847972817418158,0.6564328657314629,0.013399967098335472
500,500,0.4,5,0.0,0.0,0.9456095934046326,0.0018022926725372848,0.5641683366733466,0.0125537306898114
500,1000,0.4,5,0.0,0.0,0.6766906125753545,0.0017133305160132988,0.1743143143143143,0.004685967843569488
500,1000,0.7,5,0.0,0.0,0.6945822659905314,0.004766642840320885,0.19833833833833836,0.005793227892750752
1000,500,0.4,5,0.00024048096192384768,0.00048096192384769536,0.985128278724231,0.0012953195124778057,0.7831663326653306,0.007919255493533298
1000,500,0.7,5,0.08937875751503006,0.013208222086800867,0.9905602123227272,0.00166129167447489,0.8424048096192385,0.007291505437285334
1000,1000,0.4,5,0.002162162162162162,0.0009055601904223138,0.7380211946129293,0.002472062190696682,0.2693893893893894,0.0015844932082009456
1000,1000,0.7,5,0.006926926926926927,0.0018177472613118983,0.7574042254957456,0.0008647720804600745,0.305005005005005,0.003931781065342924
500,2000,0.4,5,0.00044022011005502755,0.00029408581204000135,0.5713180085257573,0.0009835379949885224,0.05326663331665833,0.0031260469808824473
500,2000,0.7,5,0.0018209104552276139,0.0006738352472429309,0.5807493730751792,0.0030195239603349826,0.06523261630815406,0.003378670235270907
1000,2000,0.4,5,0.011925962981490745,0.00126933478956708,0.6093181374058615,0.004105425494444905,0.07593796898449225,0.00712170667932553
1000,2000,0.7,5,0.018749374687343674,0.0019010557881362475,0.6230217735205897,0.004346764123387856,0.09302651325662832,0.008351966109789036
