method,replicate,n,p,q,density,top_k,candidate_count,candidate_recall,edge_overlap_vs_sparxcc_iter,sign_accuracy_vs_truth,auroc_vs_truth,recall_at_K_vs_truth,wallclock_seconds,peak_bytes,fallback_reason,calibration_method,prior_count,data_disagreed_with_prior_count
sparxcc_iter,0,100,100,100,0.01,10,10000,1.0,1.0,1.0,0.9977575757575757,0.86,0.0025899169995682314,1534470,,,0,0
sparxcc_base,0,100,100,100,0.01,10,10000,1.0,1.0,1.0,0.9977575757575757,0.86,0.0013596670014521806,967696,,,0,0
falcon_sr_cross_fast,0,100,100,100,0.01,10,2237,1.0,1.0,1.0,0.9975454545454545,0.86,0.014527166998959729,889088,,,0,0
falcon_sr_cross_prior,0,100,100,100,0.01,10,2237,1.0,0.9801980198019802,1.0,0.9989656565656566,0.87,0.015371708999737166,888960,,,50,0
falcon_sr_cross_fast_calibrated,0,100,100,100,0.01,10,2237,1.0,1.0,1.0,0.9975454545454545,0.86,0.04565908299991861,1351001,,permutation_base_only,0,0
sparxcc_iter,1,100,100,100,0.01,10,10000,1.0,1.0,1.0,0.9991252525252525,0.88,0.0027094590004708152,1532608,,,0,0
sparxcc_base,1,100,100,100,0.01,10,10000,1.0,1.0,1.0,0.9991252525252525,0.88,0.0013627499993162928,967616,,,0,0
falcon_sr_cross_fast,1,100,100,100,0.01,10,2238,1.0,0.9801980198019802,1.0,0.999230303030303,0.89,0.014378750000105356,888544,,,0,0
falcon_sr_cross_prior,1,100,100,100,0.01,10,2238,1.0,0.941747572815534,1.0,0.9993111111111111,0.91,0.015057792001243797,888464,,,50,0
falcon_sr_cross_fast_calibrated,1,100,100,100,0.01,10,2238,1.0,0.9801980198019802,1.0,0.999230303030303,0.89,0.0456129169997439,1349819,,permutation_base_only,0,0
sparxcc_iter,2,100,100,100,0.01,10,10000,1.0,1.0,1.0,0.9980989898989899,0.91,0.0025925410009222105,1532608,,,0,0
sparxcc_base,2,100,100,100,0.01,10,10000,1.0,1.0,1.0,0.9980989898989899,0.91,0.0013467919998220168,967616,,,0,0
falcon_sr_cross_fast,2,100,100,100,0.01,10,2220,1.0,0.9801980198019802,1.0,0.9979191919191919,0.9,0.012645624998185667,888208,,,0,0
falcon_sr_cross_prior,2,100,100,100,0.01,10,2220,1.0,0.9607843137254902,1.0,0.9982171717171717,0.92,0.014500874998702784,888168,,,50,0
