method,replicate,n,p,density,top_k,candidate_count,candidate_recall,edge_overlap_vs_sparcc,sign_accuracy_vs_truth,auroc_vs_truth,recall_at_K_vs_truth,wallclock_seconds,peak_bytes,fallback_reason,calibration_method
sparcc_py,0,100,100,0.02,10,4950,1.0,1.0,1.0,0.9954648526077098,0.8686868686868687,0.010166416999709327,696960,,
pearson_clr,0,100,100,0.02,10,4950,1.0,0.9223300970873787,1.0,0.996110351088706,0.8787878787878788,0.0012511249988165218,400144,,
pearson_raw,0,100,100,0.02,10,4950,1.0,0.15789473684210525,0.9595959595959596,0.8152125251692351,0.2828282828282828,0.0010244160002912395,322784,,
spieceasi_mb,0,100,100,0.02,10,4950,1.0,0.7368421052631579,1.0,0.9985424227848471,0.898989898989899,3.857404458000019,29564489,,
spieceasi_glasso,0,100,100,0.02,10,4950,1.0,0.8333333333333334,1.0,0.997567928303859,0.9191919191919192,0.2584010419996048,1145132,,
falcon_sr_strict,0,100,100,0.02,10,4950,1.0,0.98,1.0,0.9951233630887311,0.8787878787878788,0.013352874999327469,646192,,
falcon_sr_fast,0,100,100,0.02,10,1135,0.98989898989899,0.98,1.0,0.9915106538483162,0.8787878787878788,0.029906916999607347,563856,,
falcon_sr_fast_calibrated,0,100,100,0.02,10,1135,0.98989898989899,0.98,1.0,0.9915106538483162,0.8787878787878788,0.18138112499946146,1097692,,permutation_base_only
sparcc_py,1,100,100,0.02,10,4950,1.0,1.0,1.0,0.996857879974763,0.8484848484848485,0.0005851669993717223,696112,,
pearson_clr,1,100,100,0.02,10,4950,1.0,0.9603960396039604,1.0,0.9967142045064123,0.8484848484848485,0.0010416250006528571,400040,,
pearson_raw,1,100,100,0.02,10,4950,1.0,0.13793103448275862,1.0,0.8835374982561129,0.24242424242424243,0.0010440000005473848,322704,,
spieceasi_mb,1,100,100,0.02,10,4950,1.0,0.6923076923076923,1.0,0.9988172802025616,0.9090909090909091,0.19543795800018415,481400,,
spieceasi_glasso,1,100,100,0.02,10,4950,1.0,0.7837837837837838,1.0,0.9979323226076473,0.898989898989899,0.3682626249992609,633445,,
falcon_sr_strict,1,100,100,0.02,10,4950,1.0,0.98,1.0,0.9969453346076723,0.8484848484848485,0.011541709000084666,646000,,
falcon_sr_fast,1,100,100,0.02,10,1123,1.0,0.98,1.0,0.9969453346076723,0.8484848484848485,0.05344633300046553,563656,,
