method,n,p,effect,n_reps,time_sec_mean,time_sec_std,auroc_mean,auroc_std,recall_at_K_mean,recall_at_K_std,null_bias_mean,null_bias_std
fastprop,1000,500,0.7,5,0.00900559999718098,0.0009683969884954025,0.990773293017674,0.0004749313712470257,0.840561122244489,0.004415371335926391,-0.0009537595766420937,2.2353650940689e-05
sparcc_py,1000,500,0.7,5,0.006118074798723683,0.0005907920787001733,0.9931907625319758,0.0005183172442267262,0.8651703406813628,0.005416607905900174,0.00020951424178354262,4.8749033544178926e-05
pearson_clr,1000,500,0.7,5,0.006188450199260842,0.0011230063052328333,0.9931342506697579,0.0005756008060558852,0.8645290581162325,0.005536287502952184,-0.0017041588273331927,4.8506250709059855e-05
pearson_raw,1000,500,0.7,5,0.003126241399149876,0.0005074976804829601,0.8248599857274567,0.015048449842679616,0.43679358717434874,0.005968580511097802,0.051329210705107584,0.0023242359215434635
spieceasi_glasso,1000,500,0.7,5,1.2908347251985106,0.08112759429282643,0.9948691155981753,0.00031970030460436535,0.8977154308617233,0.003830958924360242,-0.0010569909143234844,2.23250636493129e-05
spieceasi_mb,1000,500,0.7,5,1.5362197836002451,0.04595666741783345,0.9308779558216674,0.0022772748355478372,0.862364729458918,0.004643767008564378,3.5919485418343446e-05,1.177899402975662e-05
fastprop,500,500,0.7,5,0.005501174798700959,0.00027931292656575005,0.9626539068894815,0.002535100505366997,0.6480160320641282,0.00797343390833393,-0.0006719700415107109,3.2680714904403836e-05
sparcc_py,500,500,0.7,5,0.0034143832002882847,0.0002812629056939406,0.9718554304633971,0.0023518703393784085,0.7134268537074149,0.008644687592492439,0.00022889734875953358,8.66506025390141e-05
pearson_clr,500,500,0.7,5,0.00322910020040581,0.0002674730788030262,0.9717038834939521,0.00245213383139448,0.7130260521042084,0.010312369002219306,-0.00168358260270339,8.389041129373273e-05
pearson_raw,500,500,0.7,5,0.001976825000019744,0.00039611966604867076,0.804260238935193,0.01661435881466982,0.3337875751503006,0.012849176820890826,0.05199788861052569,0.003025270823456579
spieceasi_glasso,500,500,0.7,5,2.9882850918002077,1.5745670557904135,0.9685184514872451,0.00255221927948317,0.7107815631262525,0.006248392872113869,-0.0012086219165250544,5.790047367802495e-05
spieceasi_mb,500,500,0.7,5,0.8652194665992283,0.036088717783486,0.8972037083040976,0.004785512913968333,0.7487775551102204,0.009700392469679082,7.87007216363961e-05,1.8040921378390305e-05
