# Profile of weighted_sparse + stability, n_resamples=100
# Cell: {'scenario': 'sparse_random', 'n': 500, 'p': 1000, 'seed': 200, 'density': 0.002, 'edge_strength': 0.6, 'depth': 5000}
# Wallclock total: 87.295s
# Edges selected: 435820
# Converged: True

## Top 40 by cumulative time
         478869 function calls (466527 primitive calls) in 87.293 seconds

   Ordered by: cumulative time
   List reduced from 2102 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.002    0.002   87.293   87.293 /Users/justin/project/school/FALCONE/src/falcon/api.py:176(infer_network)
        1    0.071    0.071   85.730   85.730 /Users/justin/project/school/FALCONE/src/falcon/stability.py:73(select_by_stability)
      100    0.842    0.008   85.652    0.857 /Users/justin/project/school/FALCONE/src/falcon/stability.py:37(_one_subsample)
      101   84.344    0.835   85.623    0.848 /Users/justin/project/school/FALCONE/src/falcon/estimators/weighted_sparse.py:89(estimate_weighted_sparse)
      100    0.389    0.004   84.651    0.847 /Users/justin/project/school/FALCONE/src/falcon/api.py:87(support_fn)
        1    0.000    0.000    1.525    1.525 /Users/justin/project/school/FALCONE/src/falcon/api.py:73(estimate_fn)
      101    0.553    0.005    0.587    0.006 /Users/justin/project/school/FALCONE/src/falcon/estimators/weighted_sparse.py:69(_default_weights)
        1    0.000    0.000    0.557    0.557 /Users/justin/project/school/FALCONE/.venv/lib/python3.12/site-packages/numba/core/dispatcher.py:344(_compile_for_args)
        1    0.000    0.000    0.550    0.550 /Users/justin/project/school/FALCONE/.venv/lib/python3.12/site-packages/numba/core/dispatcher.py:862(compile)
        1    0.000    0.000    0.549    0.549 /Users/justin/project/school/FALCONE/.venv/lib/python3.12/site-packages/numba/core/caching.py:713(load_overload)
    247/1    0.000    0.000    0.541    0.541 /Users/justin/project/school/FALCONE/.venv/lib/python3.12/site-packages/numba/core/base.py:261(refresh)
      247    0.002    0.000    0.495    0.002 /Users/justin/project/school/FALCONE/.venv/lib/python3.12/site-packages/numba/core/cpu.py:60(load_additional_registries)
4855/4468    0.004    0.000    0.396    0.000 <frozen importlib._bootstrap>:1390(_handle_fromlist)
   281/47    0.001    0.000    0.393    0.008 <frozen importlib._bootstrap>:1349(_find_and_load)
   272/40    0.001    0.000    0.392    0.010 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
   263/40    0.001    0.000    0.389    0.010 <frozen importlib._bootstrap>:911(_load_unlocked)
   683/46    0.000    0.000    0.388    0.008 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
   234/40    0.000    0.000    0.388    0.010 <frozen importlib._bootstrap_external>:993(exec_module)
   136/36    0.000    0.000    0.377    0.010 {built-in method builtins.__import__}
   235/40    0.001    0.000    0.365    0.009 {built-in method builtins.exec}
      201    0.008    0.000    0.298    0.001 /Users/justin/project/school/FALCONE/.venv/lib/python3.12/site-packages/numpy/lib/_twodim_base_impl.py:1041(triu_indices)
        1    0.000    0.000    0.278    0.278 /Users/justin/project/school/FALCONE/.venv/lib/python3.12/site-packages/numba/np/arraymath.py:1(<module>)
        1    0.000    0.000    0.272    0.272 /Users/justin/project/school/FALCONE/.venv/lib/python3.12/site-packages/numba/np/arraymath.py:32(_check_blas)
        1    0.000    0.000    0.272    0.272 /Users/justin/project/school/FALCONE/.venv/lib/python3.12/site-packages/numba/np/linalg.py:66(ensure_blas)
        1    0.000    0.000    0.271    0.271 /Users/justin/project/school/FALCONE/.venv/lib/python3.12/site-packages/scipy/linalg/__init__.py:1(<module>)
      603    0.243    0.000    0.249    0.000 /Users/justin/project/school/FALCONE/.venv/lib/python3.12/site-packages/numpy/lib/_twodim_base_impl.py:1124(<genexpr>)
      234    0.002    0.000    0.121    0.001 <frozen importlib._bootstrap_external>:1066(get_code)
        1    0.000    0.000    0.104    0.104 /Users/justin/project/school/FALCONE/.venv/lib/python3.12/site-packages/scipy/linalg/_sketches.py:1(<module>)
        1    0.000    0.000    0.103    0.103 /Users/justin/project/school/FALCONE/.venv/lib/python3.12/site-packages/scipy/sparse/__init__.py:1(<module>)
      247    0.000    0.000    0.097    0.000 /Users/justin/project/school/FALCONE/.venv/lib/python3.12/site-packages/numba/core/compiler_lock.py:32(_acquire_compile_lock)
  457/456    0.091    0.000    0.096    0.000 /Users/justin/project/school/FALCONE/.venv/lib/python3.12/site-packages/llvmlite/binding/ffi.py:195(__call__)
      247    0.000    0.000    0.095    0.000 /Users/justin/project/school/FALCONE/.venv/lib/python3.12/site-packages/numba/core/runtime/nrt.py:19(initialize)
        1    0.000    0.000    0.094    0.094 /Users/justin/project/school/FALCONE/.venv/lib/python3.12/site-packages/numba/core/runtime/nrtdynmod.py:205(compile_nrt_functions)
        1    0.000    0.000    0.093    0.093 /Users/justin/project/school/FALCONE/.venv/lib/python3.12/site-packages/scipy/linalg/_basic.py:1(<module>)
