# Profile of weighted_sparse + stability, n_resamples=100
# Cell: {'scenario': 'sparse_random', 'n': 500, 'p': 1000, 'seed': 200, 'density': 0.002, 'edge_strength': 0.6, 'depth': 5000}
# Wallclock total: 253.578s
# Edges selected: 435818
# Converged: True

## Top 40 by cumulative time
         384791 function calls in 253.576 seconds

   Ordered by: cumulative time
   List reduced from 126 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001  253.576  253.576 /Users/justin/project/school/FALCONE/src/falcon/api.py:171(infer_network)
      101    0.003    0.000  253.127    2.506 /Users/justin/project/school/FALCONE/src/falcon/api.py:73(estimate_fn)
      101  221.041    2.189  253.121    2.506 /Users/justin/project/school/FALCONE/src/falcon/estimators/weighted_sparse.py:87(estimate_weighted_sparse)
        1    0.298    0.298  252.025  252.025 /Users/justin/project/school/FALCONE/src/falcon/stability.py:29(select_by_stability)
      100    0.000    0.000  251.634    2.516 /Users/justin/project/school/FALCONE/src/falcon/api.py:86(support_fn)
    27637    0.097    0.000   11.444    0.000 {method 'sum' of 'numpy.ndarray' objects}
    28047   11.385    0.000   11.385    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    27637    0.038    0.000   11.347    0.000 /Users/justin/project/school/FALCONE/.venv/lib/python3.12/site-packages/numpy/_core/_methods.py:50(_sum)
      101    8.074    0.080    8.079    0.080 /Users/justin/project/school/FALCONE/.venv/lib/python3.12/site-packages/numpy/linalg/_linalg.py:1229(eigvalsh)
    13917    5.984    0.000    5.984    0.000 {method 'copy' of 'numpy.ndarray' objects}
    13816    0.278    0.000    4.152    0.000 /Users/justin/project/school/FALCONE/.venv/lib/python3.12/site-packages/numpy/linalg/_linalg.py:2575(norm)
    13816    3.789    0.000    3.789    0.000 {method 'dot' of 'numpy.ndarray' objects}
      101    0.972    0.010    1.052    0.010 /Users/justin/project/school/FALCONE/src/falcon/estimators/weighted_sparse.py:67(_default_weights)
    14220    0.725    0.000    0.725    0.000 /Users/justin/project/school/FALCONE/.venv/lib/python3.12/site-packages/numpy/lib/_index_tricks_impl.py:815(fill_diagonal)
    13917    0.116    0.000    0.326    0.000 /Users/justin/project/school/FALCONE/.venv/lib/python3.12/site-packages/numpy/lib/_twodim_base_impl.py:245(diag)
      101    0.107    0.001    0.286    0.003 /Users/justin/project/school/FALCONE/src/falcon/estimators/weighted_sparse.py:58(_correlation_from_covariance)
    13917    0.045    0.000    0.175    0.000 /Users/justin/project/school/FALCONE/.venv/lib/python3.12/site-packages/numpy/_core/fromnumeric.py:1695(diagonal)
    13917    0.108    0.000    0.108    0.000 {method 'diagonal' of 'numpy.ndarray' objects}
      101    0.095    0.001    0.095    0.001 /Users/justin/project/school/FALCONE/.venv/lib/python3.12/site-packages/numpy/_core/numeric.py:876(outer)
      306    0.087    0.000    0.087    0.000 {method 'astype' of 'numpy.ndarray' objects}
      205    0.001    0.000    0.080    0.000 {method 'mean' of 'numpy.ndarray' objects}
      205    0.003    0.000    0.079    0.000 /Users/justin/project/school/FALCONE/.venv/lib/python3.12/site-packages/numpy/_core/_methods.py:118(_mean)
      101    0.001    0.000    0.078    0.001 /Users/justin/project/school/FALCONE/.venv/lib/python3.12/site-packages/numpy/_core/fromnumeric.py:2241(clip)
      102    0.001    0.000    0.077    0.001 /Users/justin/project/school/FALCONE/.venv/lib/python3.12/site-packages/numpy/_core/fromnumeric.py:51(_wrapfunc)
      101    0.000    0.000    0.076    0.001 {method 'clip' of 'numpy.ndarray' objects}
      101    0.076    0.001    0.076    0.001 /Users/justin/project/school/FALCONE/.venv/lib/python3.12/site-packages/numpy/_core/_methods.py:99(_clip)
        1    0.040    0.040    0.050    0.050 /Users/justin/project/school/FALCONE/src/falcon/api.py:144(_build_edge_table)
    14019    0.047    0.000    0.047    0.000 {method 'ravel' of 'numpy.ndarray' objects}
