n,p,fastprop_sec,randprop_sec,host
100,500,0.0019398750009713694,0.02198225000029197,local-laptop
100,1000,0.007529582999268314,0.04516958300155238,local-laptop
100,2000,0.040244667001388734,0.15722291600104654,local-laptop
100,5000,0.31482975000108127,0.36586575000183075,local-laptop
200,500,0.0018545000020822044,0.02508754199880059,local-laptop
200,1000,0.00782137500209501,0.05219954100175528,local-laptop
200,2000,0.034500083998864284,0.15750233300059335,local-laptop
200,5000,0.29801387500265264,0.7125950410008954,local-laptop
500,500,0.00319645800118451,0.060957333000260405,local-laptop
500,1000,0.009656666999944719,0.11686479099807912,local-laptop
500,2000,0.04283737499645213,0.25937387500016484,local-laptop
500,5000,0.4197853750010836,1.695738333000918,local-laptop
1000,500,0.0062387079997279216,0.10709729199879803,local-laptop
1000,1000,0.014199790999555262,0.21638191600141,local-laptop
1000,2000,0.05222558399691479,0.6968423749967769,local-laptop
100,10000,2.997,2.924,local-laptop
500,10000,3.523,10.293,local-laptop
1000,5000,1.174,8.028,local-laptop
1000,10000,7.849,64.455,local-laptop
2000,5000,1.813,60.909,local-laptop
2000,10000,10.89,186.004,local-laptop
5000,1000,0.098,4.393,local-laptop
5000,2000,0.43,47.739,local-laptop
5000,5000,4.611,231.771,local-laptop
100,500,0.002762959000392584,0.0313577080014511,U-JPQMHKGT-1650.local
